notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,Northwest Bshrs,Thrift holding company,4122722,13413,20091218,20120930
,L S B Financial Corp,Thrift holding company,3848379,13544,19950228,20120930
,"First Southern Bancshares, Inc.",Bank Holding Company,2313704,13674,19900101,20020331
,Jacksonville Bancorp Inc Md,Thrift holding company,2300982,13685,19950428,20120930
,Ccf Holding Company,Bank Holding Company,2708159,13840,19900101,20080930
,"Bnccorp, Inc.",Bank Holding Company,1248162,13845,19900101,20071231
,"Imperial Capital Bancorp, Inc",Bank Holding Company,3114654,14074,19900101,20080930
,Flushing Financial Corp,Thrift holding company,2393274,14157,19951130,20120930
,Broadway Financial Corp Del,Thrift holding company,3260841,14283,19960131,20120930
,First Federal Bancshares Ark Inc,Thrift holding company,3832015,14587,19960531,20120930
,Dime Community Bancshares,Thrift holding company,2487650,14762,19960628,20120930
,Provident Fncl Hold,Thrift holding company,3632493,14778,19960628,20120930
,Oceanfirst Fncl Corp,Thrift holding company,2609975,14795,19960731,20120930
,E Trade Fncl Corp,Thrift holding company,3412583,14915,20000110,20120930
,R&G Financial Corporation,Bank Holding Company,2452180,14925,19900101,20041231
,Centrue Financial Corporation,Bank Holding Company,1206591,14996,19900101,20110331
,First Mariner Bancorp,Bank Holding Company,2322304,15250,19900101,20110630
,River Valley Bancorp,Bank holding company,2466981,15251,19961231,20120930
,Coast Bancorp,Bank Holding Company,3003570,15345,19900101,20000331
,"Firstfed Bancorp, Inc.",Bank Holding Company,2376567,15417,19900101,20050930
,Flagstar Bc,Thrift holding company,3852022,15454,19970430,20120930
,"Northway Financial, Inc.",Bank Holding Company,2582827,15734,19900101,20070630
,Hopfed Bc,Thrift holding company,3832556,15956,19980227,20120930
,"Midwest Banc Holdings, Inc.",Bank Holding Company,1209828,15982,19900101,20100331
,"Dearborn Bancorp, Inc.",Bank Holding Company,2193906,16046,19900101,20110630
